2026-01-27 01:55:35.781 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:50.415 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.527 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.530 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.531 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.533 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.534 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.537 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:56:03.182 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:56:10.629 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:56:13.604 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:56:31.241 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:52:49.543 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:52:49.567 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:52:49.657 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:52:49.669 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:52:49.672 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:52:49.672 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:52:49.679 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:52:49.682 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:53:07.372 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:53:27.327 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:53:28.137 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:53:45.780 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:53:46.859 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 03:54:05.951 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:09.361 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:09.394 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:09.548 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:09.574 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:09.575 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:09.576 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:09.584 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:09.588 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:18.217 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:21.918 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:30.778 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:35.947 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:49.290 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:50.437 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:50.450 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:50.456 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:50.460 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:50.461 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:45:50.466 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:46:16.770 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:46:36.781 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:46:41.403 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:46:50.025 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:46:55.802 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:46:57.259 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:46:57.273 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:47:04.157 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:47:11.435 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:47:38.479 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:47:39.657 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:47:47.260 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:47:51.077 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:49:59.673 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:49:59.689 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:50:05.855 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:50:17.698 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:50:40.345 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:50:42.488 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:50:44.551 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:50:46.612 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:50:48.667 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 10:50:50.721 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-28 22:00:46.532 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-28 22:00:46.551 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-28 22:01:10.524 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
